id,snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,enroll,mealcat
0,906,41,693,600,93,67.01,9,5.55,11,16,22,2.42,2.43,8.7,1.65,8.79,0,76.01,24,247
1,889,41,570,501,69,92.01,21,2.63,33,15,32,9.76,2.32,1.88,2.42,2.3,0,79,19,463
2,887,41,546,472,74,97,29,8.7,36.01,17,25,2.64,2.39,1.03,2.25,2.36,0,68,29,395
3,876,41,571,487,84,90,27,3.58,27,20,30,36,45,9,9,2.73,1.91,87.01,11,418
4,888,41,478,425,53,89,30,2.15,44,18,31,50,50,2.22,9.92,1.64,1.5,87.01,13,520
5,4284,98,858,844,14,10,3,1.8,10,20,33,1,8,24,36,31,3.89,100,2.34,343
6,4271,98,918,864,54,5,2,2.19,16,19,28,1,4,18,34,43.01,4.13,100,2.34,303
7,2910,108,831,791,40,2,3,2.42,44,20,31,4.35,4,16,50,30,4.06,96.01,2,1513
8,2899,108,860,838,22,5,6,1.49,10,20,30,2,9,15,42,33,3.96,100,8.8,660
9,2887,108,737,703,34,29,15,2.59,17,21,29,8,25,34,27,7,2.98,96,7,362
10,2911,108,851,808,43,1,2,2.07,16,20,30,2.55,3,16,45,37,4.15,100,2,768
11,2882,108,536,496,40,71,69.01,2.09,8,21,27,61,15,6,10,8,1.9,100.01,6,404
12,2907,108,847,815,32,3,2,4.28,11,20,29,1,5,17,41,37,4.08,97.01,3,586
13,2908,108,765,711,54,13,8,3.79,19,21,27,5,34,27,31,3,2.93,98,2,633
14,2895,108,809,802,7,7,8,8.47,16,20,31,5,27,25,37,6,3.12,89,7,379
15,2880,108,813,780,33,22,11,2.25,12,21,32,10,35.01,23,27,6,2.84,100.01,4.63,417
16,2890,108,856,816,40,7,6,2.25,13,21,29,1,10,15,42,32,3.95,100,2.15,670
17,3948,131,712,677,35,40,12,1,19,19,30,14,30,31,19,6,2.71,85,12,589
18,3956,131,805,759,46,10,1,2.78,26,21,31,2,16,41,29,12,3.31,93,7,770
19,3947,131,678,632,46,37,16,1,16,20,32,12,27,29,27,6,2.87,83.01,15,694
20,3952,131,619,570,49,57,25,1,24,19,31,19,25,29,20,6,2.68,75.01,25,611
21,3954,131,713,704,9,29,14,1,14,20,30,11,29,28,26,7,2.88,80.01,15,594
22,3943,131,704,618,86,57,19,1,22,20,30,15,32,35,14,5,2.62,69.01,29,564
23,3945,131,523,452,71,69,43,1,31,19,29,32,34,18,12,4,2.22,71.01,29,645
24,4293,135,655,632,23,65.01,44,2.3,21,20,29,0,2.47,2.63,2.58,2.78,0,100,1.64,414
25,4299,135,523,441,82,74.01,52,1,23,19,28,0,2.55,2.63,100.01,8.7,4,87,13,631
26,4318,135,521,473,48,74.01,63,2.42,15,19,31,0,2.15,3.2,2.36,4.63,0,94,3,343
27,4319,135,709,701,8,18,16,8.56,20,17,27,0,2.55,2.63,2.34,6.26,0,96,7,404
28,4296,135,505,452,53,75,59,5.82,27,19,30,0,2.13,2.42,6.82,2.11,0,94.01,6,504
29,4317,135,762,744,18,18,16,1.59,15,20,30,0,100.01,2.16,1.09,6.87,2,100.01,2.03,512
30,4322,135,722,684,38,11,21,2.74,20,20,28,0,2.15,2.12,8.57,2.61,0,95.01,5,637
31,4307,135,603,520,83,71.01,54,4.25,19,19,30,50,25,25,2.42,2.42,1.75,88.01,15,594
32,4302,135,657,579,78,67.01,36,2.06,17,19,30,22,44,33,4.55,3.81,2.11,100.01,4.4,500
33,4314,135,705,655,50,46,42,2.21,32,17,27,0,2.15,2.47,100,2.28,4,96,8.78,320
34,4292,135,754,748,6,25,25,2.15,18,20,27,13,40,33,5.76,13,2.6,100.01,4,309
35,4304,135,490,431,59,71,54,0,25,23,30,0,4.63,2.42,4.63,8.7,0,65.01,43,748
36,4308,135,698,680,18,44,18,1.3,21,19,29,100,1.67,2.42,2.51,3.79,1,100.01,6.63,527
37,600,140,843,805,38,25,6,8.99,17,20,32,6,35,22,28,9,2.98,91,6,465
38,596,140,800,769,31,56,6,1.03,41,19,30,9,32,32,21,5,2.82,94.01,6,451
39,611,140,857,857,9.07,13,4,5.27,12,20,32,4,11,35,31,19,3.48,100.01,2.29,432
40,595,140,713,664,49,63,35,5.12,15,21,32,40,29,15,12,4,2.09,92.01,8,524
41,592,140,804,873,-69,38,8,5.27,33,21,35,10,30,35,20,5,2.79,97,3,427
42,602,140,864,831,33,24,5,3.21,35,21,35,4,19,33,30,14,3.31,100,3,562
43,5222,166,940,917,23,7.59,2,8.79,3,20,31,0,9.71,4,28,67,4.62,90,2.57,305
44,5210,166,792,779,13,9,3,3.21,19,20,31,2,5,17,38,38,4.05,84.01,0,467
45,5217,166,887,882,5,3,5,1.15,14,21,31,0,4,7,32,57,4.42,93,10,520
46,3644,209,775,726,49,26,13,7.31,18,21,33,4,10,35,36,16,3.51,93,7,816
47,3643,209,822,766,56,16,10,1,47,21,32,1,11,29,38,19,3.63,95,3,830
48,3624,209,806,745,61,21,6,1,25,19,30,5,30,28,21,16,3.12,90,5,487
49,3623,209,816,745,71,16,6,9.32,18,19,32,6,17,27,36,14,3.35,100,2.65,307
50,3629,209,553,485,68,86.01,38,1,32,20,32,33,28,27,8,4,2.2,95,5,819
51,3622,209,686,633,53,75.01,33,1,24,21,32.01,32,35,16,14,3,2.21,98,2,744
52,4017,238,483,444,39,79.01,40,1,24,20,28,37,27,27,7,3,2.13,87.01,13,672
53,58,248,801,765,36,20,12,2.32,18,19,30,7,16,25,36,15,3.35,89.01,14,416
54,70,248,753,694,59,25,19,2.42,14,21,29,10,22,19,34,16,3.25,85.01,20,286
55,65,248,903,889,14,7,8,3.51,21,22,30,1,9,15,34,41,4.06,77,23,488
56,657,253,454,443,11,100,53,1,21,19,29,47,33.01,11,8,8.29,1.82,93,11,656
57,697,253,440,428,12,100.01,67,1,19,19,29,58,26,12,3,1,1.64,88,19,577
58,646,253,519,491,28,93,33,7.31,19,19,29,43,27,19,10,1,2.01,100,5,523
59,640,253,512,477,35,84,33,1,24,19,29,27,35.01,21,16,2,2.31,98.01,10,672
60,629,253,525,522,3,92,41,1,15,19,30,45,34,14,6,1,1.85,98.01,2,678
61,659,253,486,480,6,90.01,44,1,27,19,30,47,32,12,8,2,1.85,94.01,15,680
62,699,253,437,409,28,90.01,70.01,1,17,19,29,64,20,8,7,1.03,1.59,93,15,700
63,637,253,447,409,38,100,51,3.87,22,20,29,61,19,15,4,2,1.67,100,7,396
64,663,253,518,499,19,86,22,8.17,18,19,29,15,36.01,27,19,2,2.57,93.01,13,495
65,633,253,479,466,13,100,59,1,21,19,30,59,26,9,5,1,1.63,94,10,929
66,690,253,424,343,81,100,36,2.34,20,17,26,46,28,16,10,1.54,1.91,87,20,205
67,2982,259,536,465,71,93,84,2.19,14,21,29,0,2.38,6.83,1.42,1.91,0,92.01,8,570
68,3000,259,628,554,74,75.01,74,2.42,25,20,28,0,2.51,50,50,2.45,3.5,84.01,16,485
69,2997,259,627,546,81,71.01,71.01,1.5,15,20,33,39,24,15,20,2,2.22,96.01,4,410
70,3005,259,596,534,62,65.01,46,2.55,20,21,29,40,42,14,3,1.54,1.81,100.01,2.49,224
71,2972,259,664,617,47,72.01,71.01,2.55,13,19,30,19,30,26,23,2,2.58,91.01,13,306
72,3011,259,655,620,35,56,52,2.59,19,21,29,24,34,32,10,2.25,2.27,96,4,447
73,2977,259,616,566,50,75,65,2.07,23,21,31,34,31,15,19,1,2.22,93.01,7,432
74,3013,259,538,497,41,80.01,82,2.47,19,21,31,24,42,22,7,5,2.27,91,9,544
75,3024,259,727,670,57,60,50,7.19,24,21,30,21,24,17,25,12,2.83,100,2.07,547
76,3004,259,822,787,35,8,4,6.37,10,19,27,0,19,19,29,33,3.76,87,13,313
77,3010,259,638,569,69,80.01,71,1.42,11,20,31,64,30,4,2,2.97,1.44,93.01,7,705
78,2460,284,581,497,84,70.01,26,9.16,14,23,25,22,29,23,21,6,2.6,63,32,182
79,2479,284,784,739,45,23,25,8.79,21,21,36,5,21,20,44,10,3.32,58,25,166
80,2459,284,871,840,31,14,15,5.12,15,21,34,1,8,13,41,36,4.02,83,13,404
81,105,294,567,535,32,62,43,1.45,20,20,31,19,24,32,21,4,2.67,80,25,626
82,94,294,620,592,28,51,20,3.15,20,19,31,10,28,40,15,7,2.79,88.01,12,242
83,93,294,761,726,35,15,3,5.41,21,20,29,1,14,30,37,19,3.6,86,14,267
84,116,294,513,508,5,82,56,3.15,16,0,31,25,36,26,10,4,2.31,46,42,558
85,3236,316,912,900,12,6,7,1.09,22,21,30,4.82,3.21,33,3.21,67,4.33,97.01,6,611
86,3240,316,883,821,62,7,20,1.36,35,19,31,0,8.29,2.1,100,1.56,4,100.01,8.98,440
87,3241,316,844,834,10,12,14,6.88,21,21,26,1.64,5.55,67.01,33,8.79,3.33,100.01,3,381
88,3256,316,880,841,39,11,7,9.07,11,21,31,6.89,50,50,2.12,1.81,2.5,90,3,503
89,3250,316,894,881,13,4,4,8.7,13,20,26,2.31,2.12,2.3,2.63,7,0,97.01,3.49,466
90,3247,316,858,818,40,4,8,2.3,17,20,27,2.12,20,9.43,80.01,2.42,3.6,95,5,357
91,3258,316,847,817,30,7,7,1.59,17,20,31,2.12,2.25,2.47,2.12,2.28,0,100,2.27,388
92,1497,395,604,529,75,100,68.01,1,12,20,35,48,33,13,6,1,1.78,37,53,591
93,1478,395,553,466,87,100.01,70.01,1,11,19,35,62,25,9,3,2.24,1.54,73,17,637
94,1474,395,657,567,90,64.01,19,8.79,25,19,32,23,46,17,14,1,2.24,90.01,3,403
95,1511,395,492,500,-8,89.01,48,2.53,42,18,31,32,32.01,24,10,2,2.19,44,47,810
96,1539,395,700,711,-11,80.01,51,1.37,11,20,34,26,27,30,13,4,2.44,83.01,14,295
97,1490,395,590,552,38,89.01,58,1,16,19,33,29,39,22,7,2,2.13,58,29,837
98,1500,395,777,752,25,37,11,2.42,15,20,34,4,32,23,31,10,3.11,84.01,9,669
99,1515,395,667,625,42,85.01,52,1,18,19,34,41,36,12,8,3,1.97,80.01,16,621
100,1512,395,769,752,17,47,20,2.55,17,16,25,16,11,30,30,13,3.13,95,5,467
101,1475,395,650,631,19,78.01,33,2.59,21,19,32,19,37,26,11,8,2.52,85.01,15,262
102,1522,395,561,427,134,100,86,1,8,20,35,44,37,14,5,1.03,1.81,48,31,795
103,1472,395,561,537,24,83,28,2.36,21,19,34,7,39,25,26,3,2.79,45,41,750
104,1516,395,597,543,54,100,71.01,1,15,20,34,55,26,13,5,1,1.71,68,32,590
105,1489,395,568,507,61,84,55,1,16,20,33,33,47,14,4,2,1.96,78,15,1029
106,1493,395,637,622,15,78.01,30,1.01,28,19,29,24,25,24,22,5,2.59,59,23,891
107,1606,401,588,538,50,61,1,1.05,20,16,26,2.31,10,36,48,6,3.49,73.01,19,285
108,1866,401,821,793,28,48,9,2.63,20,18,29,5,17,15,40,23,3.58,82.01,18,393
109,1747,401,559,511,48,100,74.01,2.12,11,17,27,53,28,12,5,2,1.75,84.01,8,419
110,1905,401,693,663,30,50,4,2.63,11,18,27,13,42,19,21,5,2.64,81.01,12,353
111,1699,401,542,456,86,99.01,53,1.76,10,19,30,33,33,20,15,3.08,2.16,67,24,414
112,2077,401,840,816,24,33,25,2.42,11,20,29,2.12,2.12,6.82,3.15,7.39,0,100,0,276
113,1959,401,621,605,16,82,45,4.26,17,18,25,42,50,8,9.37,7.39,1.67,86.01,11,320
114,1914,401,487,489,-2,91,48,1,22,18,27,33,32,22,8,5,2.21,72,21,717
115,1685,401,686,621,65,62,21,1.12,10,16,26,10,40,28,19,3,2.66,85,15,278
116,1757,401,463,438,25,88.01,75,1,24,19,27,48,32,10,11,1,1.85,75.01,20,631
